X,Y,Tile Type
0,0,None
0,1,None
0,2,None
0,3,None
0,4,None
0,5,None
0,6,None
0,7,None
0,8,None
0,9,None
0,10,None
0,11,None
0,12,None
0,13,None
0,14,None
0,15,None
0,16,None
0,17,None
0,18,None
0,19,None
0,20,None
0,21,None
0,22,None
0,23,None
0,24,None
0,25,None
0,26,General
0,27,General
0,28,General
0,29,General
0,30,General
0,31,None
0,32,None
0,33,None
0,34,None
0,35,None
0,36,None
0,37,None
0,38,None
0,39,None
0,40,None
0,41,None
0,42,None
1,0,None
1,1,None
1,2,None
1,3,None
1,4,None
1,5,None
1,6,None
1,7,None
1,8,None
1,9,None
1,10,None
1,11,None
1,12,None
1,13,None
1,14,None
1,15,None
1,16,None
1,17,None
1,18,None
1,19,None
1,20,None
1,21,None
1,22,None
1,23,None
1,24,Farming
1,25,General
1,26,General
1,27,General
1,28,General
1,29,General
1,30,General
1,31,General
1,32,General
1,33,General
1,34,General
1,35,General
1,36,General
1,37,None
1,38,None
1,39,None
1,40,None
1,41,None
1,42,None
2,0,None
2,1,None
2,2,None
2,3,None
2,4,None
2,5,None
2,6,None
2,7,None
2,8,None
2,9,None
2,10,None
2,11,None
2,12,None
2,13,None
2,14,None
2,15,None
2,16,None
2,17,None
2,18,None
2,19,None
2,20,None
2,21,None
2,22,None
2,23,None
2,24,None
2,25,None
2,26,Trap
2,27,General
2,28,General
2,29,General
2,30,Trap
2,31,None
2,32,None
2,33,None
2,34,General
2,35,None
2,36,General
2,37,None
2,38,None
2,39,None
2,40,None
2,41,None
2,42,None
3,0,Farming
3,1,General
3,2,General
3,3,General
3,4,General
3,5,General
3,6,None
3,7,None
3,8,None
3,9,None
3,10,None
3,11,None
3,12,None
3,13,None
3,14,None
3,15,None
3,16,None
3,17,None
3,18,None
3,19,None
3,20,None
3,21,None
3,22,None
3,23,None
3,24,General
3,25,General
3,26,General
3,27,General
3,28,None
3,29,None
3,30,None
3,31,None
3,32,None
3,33,Teleport
3,34,General
3,35,General
3,36,General
3,37,None
3,38,None
3,39,None
3,40,None
3,41,None
3,42,None
4,0,General
4,1,General
4,2,General
4,3,General
4,4,Trap
4,5,General
4,6,None
4,7,None
4,8,None
4,9,None
4,10,None
4,11,None
4,12,None
4,13,None
4,14,None
4,15,None
4,16,None
4,17,None
4,18,None
4,19,None
4,20,None
4,21,None
4,22,None
4,23,General
4,24,General
4,25,None
4,26,None
4,27,General
4,28,None
4,29,None
4,30,None
4,31,None
4,32,None
4,33,None
4,34,Puzzle/Letter
4,35,None
4,36,General
4,37,None
4,38,None
4,39,None
4,40,None
4,41,None
4,42,None
5,0,General
5,1,None
5,2,None
5,3,None
5,4,None
5,5,General
5,6,General
5,7,General
5,8,Trap
5,9,General
5,10,None
5,11,None
5,12,None
5,13,None
5,14,None
5,15,None
5,16,None
5,17,None
5,18,None
5,19,None
5,20,None
5,21,None
5,22,None
5,23,None
5,24,General
5,25,None
5,26,General
5,27,General
5,28,General
5,29,General
5,30,Trap
5,31,General
5,32,Trap
5,33,None
5,34,None
5,35,None
5,36,General
5,37,None
5,38,None
5,39,None
5,40,None
5,41,None
5,42,None
6,0,General
6,1,General
6,2,General
6,3,Key
6,4,None
6,5,Trap
6,6,General
6,7,General
6,8,None
6,9,General
6,10,General
6,11,None
6,12,None
6,13,None
6,14,None
6,15,None
6,16,None
6,17,None
6,18,None
6,19,None
6,20,None
6,21,None
6,22,None
6,23,General
6,24,General
6,25,General
6,26,General
6,27,General
6,28,General
6,29,Trap
6,30,General
6,31,Event/Hint
6,32,General
6,33,General
6,34,None
6,35,None
6,36,General
6,37,None
6,38,None
6,39,None
6,40,None
6,41,None
6,42,None
7,0,General
7,1,None
7,2,None
7,3,None
7,4,None
7,5,General
7,6,General
7,7,General
7,8,General
7,9,General
7,10,General
7,11,General
7,12,None
7,13,None
7,14,None
7,15,None
7,16,None
7,17,None
7,18,None
7,19,None
7,20,None
7,21,None
7,22,None
7,23,General
7,24,Trap
7,25,None
7,26,General
7,27,General
7,28,General
7,29,General
7,30,General
7,31,Trap
7,32,General
7,33,None
7,34,None
7,35,None
7,36,General
7,37,General
7,38,General
7,39,None
7,40,None
7,41,None
7,42,None
8,0,General
8,1,General
8,2,General
8,3,General
8,4,General
8,5,General
8,6,None
8,7,None
8,8,None
8,9,General
8,10,General
8,11,General
8,12,None
8,13,None
8,14,None
8,15,None
8,16,None
8,17,None
8,18,None
8,19,None
8,20,None
8,21,None
8,22,None
8,23,Farming
8,24,General
8,25,None
8,26,None
8,27,General
8,28,None
8,29,None
8,30,None
8,31,None
8,32,None
8,33,None
8,34,None
8,35,None
8,36,General
8,37,General
8,38,General
8,39,None
8,40,None
8,41,None
8,42,None
9,0,Rest
9,1,General
9,2,General
9,3,General
9,4,General
9,5,General
9,6,None
9,7,None
9,8,None
9,9,None
9,10,General
9,11,General
9,12,Trap
9,13,None
9,14,None
9,15,None
9,16,None
9,17,None
9,18,None
9,19,None
9,20,None
9,21,None
9,22,None
9,23,None
9,24,None
9,25,None
9,26,General
9,27,General
9,28,None
9,29,None
9,30,None
9,31,None
9,32,None
9,33,None
9,34,None
9,35,None
9,36,General
9,37,Trap
9,38,General
9,39,None
9,40,None
9,41,None
9,42,None
10,0,None
10,1,General
10,2,None
10,3,General
10,4,None
10,5,None
10,6,None
10,7,None
10,8,None
10,9,None
