X,Y,Direction,Type,Passable
0,26,North,Wall,X
0,26,East,Open,O
0,26,South,Wall,X
0,26,West,Wall,X
0,27,North,Open,O
0,27,East,Open,O
0,27,South,Open,O
0,27,West,Wall,X
0,28,North,Open,O
0,28,East,Open,O
0,28,South,Open,O
0,28,West,Wall,X
0,29,North,Open,O
0,29,East,Open,O
0,29,South,Wall,X
0,29,West,Wall,X
1,24,North,Wall,X
1,24,East,Wall,X
1,24,South,Open,O
1,24,West,Wall,X
1,25,North,Open,O
1,25,East,Wall,X
1,25,South,Open,O
1,25,West,Wall,X
1,26,North,Open,O
1,26,East,Open,O
1,26,South,Open,O
1,26,West,Open,O
1,27,North,Open,O
1,27,East,Open,O
1,27,South,Open,O
1,27,West,Open,O
1,28,North,Open,O
1,28,East,Open,O
1,28,South,Door,O
1,28,West,Open,O
1,29,North,Door,O
1,29,East,Open,O
1,29,South,Open,O
1,29,West,Open,O
1,30,North,Open,O
1,30,East,Open,O
1,30,South,Open,O
1,30,West,Wall,X
1,31,North,Open,O
1,31,East,Wall,X
1,31,South,Open,O
1,31,West,Wall,X
1,32,North,Open,O
1,32,East,Wall,X
1,32,South,Open,O
1,32,West,Wall,X
1,33,North,Open,O
1,33,East,Wall,X
1,33,South,Open,O
1,33,West,Wall,X
1,34,North,Open,O
1,34,East,OneWay,O
1,34,South,Open,O
1,34,West,Wall,X
1,35,North,Open,O
1,35,East,Wall,X
1,35,South,Open,O
1,35,West,Wall,X
1,36,North,Open,O
1,36,East,Open,O
1,36,South,Wall,X
1,36,West,Wall,X
2,26,North,Wall,X
2,26,East,Open,O
2,26,South,Open,O
2,26,West,Open,O
2,27,North,Open,O
2,27,East,Open,O
2,27,South,Open,O
2,27,West,Open,O
2,28,North,Open,O
2,28,East,Wall,X
2,28,South,Door,O
2,28,West,Open,O
2,29,North,Door,O
2,29,East,Wall,X
2,29,South,Open,O
2,29,West,Open,O
2,30,North,Open,O
2,30,East,Wall,X
2,30,South,Wall,X
2,30,West,Open,O
2,34,North,Wall,X
2,34,East,Open,O
2,34,South,Wall,X
2,34,West,OneWay,X
2,36,North,Wall,X
2,36,East,Open,O
2,36,South,Wall,X
2,36,West,Open,O
3,0,North,Wall,X
3,0,East,Open,O
3,0,South,Open,O
3,0,West,Wall,X
3,1,North,Open,O
3,1,East,Open,O
3,1,South,Open,O
3,1,West,Wall,X
3,2,North,Open,O
3,2,East,Open,O
3,2,South,Open,O
3,2,West,Wall,X
3,3,North,Open,O
3,3,East,Open,O
3,3,South,Open,O
3,3,West,Wall,X
3,4,North,Open,O
3,4,East,Open,O
3,4,South,Open,O
3,4,West,Wall,X
3,5,North,Open,O
3,5,East,Open,O
3,5,South,Wall,X
3,5,West,Wall,X
3,24,North,Wall,X
3,24,East,Open,O
3,24,South,Open,O
3,24,West,Wall,X
3,25,North,Open,O
3,25,East,Wall,X
3,25,South,Open,O
3,25,West,Wall,X
3,26,North,Open,O
3,26,East,Wall,X
3,26,South,Open,O
3,26,West,Open,O
3,27,North,Open,O
3,27,East,Open,O
3,27,South,Wall,X
3,27,West,Open,O
3,33,North,Wall,X
3,33,East,Wall,X
3,33,South,Open,O
3,33,West,Wall,X
3,34,North,Open,O
3,34,East,Open,O
3,34,South,Open,O
3,34,West,Open,O
3,35,North,Open,O
3,35,East,Wall,X
3,35,South,Open,O
3,35,West,Wall,X
3,36,North,Open,O
3,36,East,Open,O
3,36,South,Wall,X
3,36,West,Open,O
4,0,North,Wall,X
4,0,East,Open,O
4,0,South,Open,O
4,0,West,Open,O
4,1,North,Open,O
4,1,East,Wall,X
4,1,South,Open,O
4,1,West,Open,O
4,2,North,Open,O
4,2,East,Wall,X
4,2,South,Open,O
4,2,West,Open,O
4,3,North,Open,O
4,3,East,Wall,X
4,3,South,Open,O
4,3,West,Open,O
4,4,North,Open,O
4,4,East,Wall,X
4,4,South,Open,O
4,4,West,Open,O
4,5,North,Open,O
4,5,East,Open,O
4,5,South,Wall,X
4,5,West,Open,O
4,23,North,Wall,X
4,23,East,Wall,X
4,23,South,Open,O
4,23,West,Wall,X
4,24,North,Open,O
4,24,East,Open,O
4,24,South,Wall,X
4,24,West,Open,O
4,27,North,Wall,X
4,27,East,Door,O
4,27,South,Wall,X
4,27,West,Open,O
4,34,North,Wall,X
4,34,East,Wall,X
4,34,South,Wall,X
4,34,West,Open,O
4,36,North,Wall,X
4,36,East,Open,O
4,36,South,Wall,X
4,36,West,Open,O
5,0,North,Wall,X
5,0,East,Open,O
5,0,South,Wall,X
5,0,West,Open,O
5,5,North,Wall,X
5,5,East,Open,O
5,5,South,Open,O
5,5,West,Open,O
5,6,North,Open,O
5,6,East,Open,O
5,6,South,Wall,X
5,6,West,OneWay,O
5,24,East,OneWay,O
5,8,North,Wall,X
5,8,East,Wall,X
5,8,South,Open,O
5,8,West,Wall,X
5,9,North,Open,O
5,9,East,Open,O
5,9,South,Wall,X
5,9,West,Wall,X
5,24,North,Wall,X
5,24,South,Wall,X
5,24,West,Open,O
5,26,North,Wall,X
5,26,East,Open,O
5,26,South,Open,O
5,26,West,Wall,X
5,27,North,Open,O
5,27,East,Open,O
5,27,South,Open,O
5,27,West,Door,O
5,28,North,Open,O
5,28,East,Open,O
5,28,South,Open,O
5,28,West,Wall,X
5,29,North,Open,O
5,29,East,Open,O
5,29,South,Open,O
5,29,West,Wall,X
5,30,North,Open,O
5,30,East,Open,O
5,30,South,Open,O
5,30,West,Wall,X
